函数名,调用数,已用非独占时间百分比,已用独占时间百分比,平均已用非独占时间,平均已用独占时间,模块名,
"LoginDemo.BLL.UserBLL.GetUserListbyParameter(class LoginDemo.Entity.UserQueryParameter)",1,70.55,57.56,1.22,0.99,"LoginDemo.BLL.dll",
"LoginDemo.BLL.UserBLL..ctor()",1,14.36,12.97,0.25,0.22,"LoginDemo.BLL.dll",
"LoginDemo.Commom.ReturnResponse`1..ctor()",1,12.98,11.08,0.22,0.19,"LoginDemo.Commom.dll",
"LoginDemo.Entity.UserQueryParameter..ctor()",1,13.09,5.13,0.23,0.09,"LoginDemo.Entity.dll",
"LoginDemo.Entity.UserQueryParameter..ctor()",1,7.96,4.82,0.14,0.08,"LoginDemo.Entity.dll",
"LoginDemo.Entity.BaseQueryParameter..ctor()",1,3.14,2.08,0.05,0.04,"LoginDemo.Entity.dll",
"LoginDemo.BLL.Test.UserBLLTest..ctor()",1,16.34,1.97,0.28,0.03,"LoginDemo.BLL.Test.dll",
"LoginDemo.Commom.ReturnResponse`1..ctor()",1,1.90,1.31,0.03,0.02,"LoginDemo.Commom.dll",
"System.Object..ctor()",1,1.06,1.06,0.02,0.02,"mscorlib.dll",
"LoginDemo.BLL.UserBLL..ctor()",1,1.39,0.94,0.02,0.02,"LoginDemo.BLL.dll",
"System.Object..ctor()",1,0.59,0.59,0.01,0.01,"mscorlib.dll",
"System.Object..ctor()",1,0.45,0.45,0.01,0.01,"mscorlib.dll",
"LoginDemo.BLL.Test.UserBLLTest.GetUserListbyParameterTestMethod()",1,83.66,0.02,1.44,0.00,"LoginDemo.BLL.Test.dll",
"LoginDemo.BLL.UserBLL.GetUserListbyParameter(class LoginDemo.Entity.UserQueryParameter)",1,12.99,0.01,0.22,0.00,"LoginDemo.BLL.dll",
"System.Object..ctor()",1,0.00,0.00,0.00,0.00,"mscorlib.dll",
"LoginDemo.DAL.Interface.IUserDAL.QueryUsersByParameter(class LoginDemo.Entity.UserQueryParameter)",1,0.00,0.00,0.00,0.00,"LoginDemo.DAL.dll",
