名称,类别,值,
"ETL 文件签名","ETW","00000000-0000-0000-0000-000000000000",
"应用程序 ETL 文件","ETW","",
"内核 ETL 文件","ETW","",
"次文件版本","版本信息","1",
"主产品版本","版本信息","12",
"次产品版本","版本信息","0",
"内部版本号","版本信息","21005",
"版本字符串","版本信息","12.0.21005 x86",
"主文件版本","版本信息","43",
"I/O 缓冲区数","常规","514",
"缓冲区的大小","常规","65536",
"创建时间","常规","2015/9/10 18:16:49",
"为采样","集合","False",
"为并发","集合","False",
"为资源争用","集合","False",
"为可视化工具","集合","False",
"为检测","集合","True",
"为 64 位","集合","False",
"为托管","集合","True",
"为生存期","集合","False",
"为分配","集合","False",
"是否发生 DHP","集合","False",
"UMS 应用程序是否已终止","集合","False",
"为 TIP","集合","False",
"为 JScript","集合","False",
"为正常退出","集合","True",
"为不受支持的 CLR","集合","False",
"CPU 型号","计算机信息","5",
"操作系统主版本","计算机信息","6",
"操作系统次版本","计算机信息","1",
"CPU 系列","计算机信息","6",
"CPU 体系结构","计算机信息","Intel",
"操作系统内部版本号","计算机信息","7601",
"CPU 类型","计算机信息","Intel",
"CPU 数量","计算机信息","4",
"计算机名","计算机信息","WINDOWS-NET012",
"CPU 步进","计算机信息","1",
"时钟频率","计算机信息","2394",
"最大进程数","进程","64",
"进程数","进程","0",
"总进程数","进程","1",
"进程高水位","进程","1",
"线程数","线程","0",
"总线程数","线程","12",
"最大线程数","线程","512",
"线程高水位","线程","11",
"计数器 0","性能计数器","TimeStamp Counter",
